Source,Target,Organizer,Weight,Interval,src_lat,src_lon,tgt_lat,tgt_lon,Source_Year,Target_Year,Edge_Year,Edge_Year (Time)
Kavli Royal Society International Center_2010,UCD Conference_2010,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,53.35328861,-6.264808522,2010,2010,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,University of North Carolina_2011,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,35.23202548,-80.84695165,2010,2011,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,University of Pittsburgh_2012,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,40.44276457,-79.99514662,2010,2012,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,VIVO 2011 Conference_2011,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,38.89126812,-77.03682062,2010,2011,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,Workshop_2010,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,38.89652172,-77.03893099,2010,2010,2010,2010-01-01 00:00:00
Modeling Science Workshop_2009,Monroe County Public Library_2007,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,39.16875769,-86.53432796,2009,2007,2007,2007-01-01 00:00:00
Kavli Royal Society International Center_2010,Scientific Mapping and Analytics_2011,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,35.69154502,-105.9316778,2010,2011,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,National Academy of Sciences_2013,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,38.89117267,-77.03555228,2010,2013,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,National Institutes of Health_2012,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,38.88880811,-77.04481698,2010,2012,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,Northwestern University_2011,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,41.87198984,-87.62931502,2010,2011,2010,2010-01-01 00:00:00
Kavli Royal Society International Center_2010,Purdue University_2011,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,39.77161587,-86.16296103,2010,2011,2010,2010-01-01 00:00:00
Modeling Science Workshop_2009,National Cancer Institute_2006,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,38.88893258,-77.03498645,2009,2006,2006,2006-01-01 00:00:00
Monroe County Public Library_2007,National Institute of Informatics_2007,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,35.67628186,139.7601129,2007,2007,2007,2007-01-01 00:00:00
Modeling Science Workshop_2009,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,52.38009357,4.89845947,33.74598921,-84.39163966,2009,2006,2006,2006-01-01 00:00:00
Modeling Science Workshop_2009,i-Light Symposium 2005_2005,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,39.76552166,-86.16352641,2009,2005,2005,2005-01-01 00:00:00
Monroe County Public Library_2007,National Cancer Institute_2006,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,38.88893258,-77.03498645,2007,2006,2006,2006-01-01 00:00:00
Monroe County Public Library_2007,National Institute of Informatics_2005,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,29.55674144,-98.53572578,2007,2005,2005,2005-01-01 00:00:00
Modeling Science Workshop_2009,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,40.06909293,-88.22313709,2009,2005,2005,2005-01-01 00:00:00
Modeling Science Workshop_2009,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,52.38009357,4.89845947,39.77021159,-86.16122929,2009,2006,2006,2006-01-01 00:00:00
Modeling Science Workshop_2009,National Institute of Informatics_2005,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,29.55674144,-98.53572578,2009,2005,2005,2005-01-01 00:00:00
Modeling Science Workshop_2009,New York Hall of Science_2008,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,40.71529336,-73.82546021,2009,2008,2008,2008-01-01 00:00:00
Modeling Science Workshop_2009,National Institute of Informatics_2007,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,35.67628186,139.7601129,2009,2007,2007,2007-01-01 00:00:00
Modeling Science Workshop_2009,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,35.67535458,139.7567834,2009,2007,2007,2007-01-01 00:00:00
Modeling Science Workshop_2009,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Borner,1,2005 to 2009,52.38009357,4.89845947,40.86115082,-73.43750812,2009,2006,2006,2006-01-01 00:00:00
Modeling Science Workshop_2009,New Network Theory Conference Keynote_2007,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,52.36888351,4.888075309,2009,2007,2007,2007-01-01 00:00:00
Modeling Science Workshop_2009,New York Hall of Science_2006,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,40.71384544,-73.82887484,2009,2006,2006,2006-01-01 00:00:00
Modeling Science Workshop_2009,New York Hall of Science_2009,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,40.70391394,-73.82247429,2009,2009,2009,2009-01-01 00:00:00
Modeling Science Workshop_2009,OSTI Meeting_2008,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,36.01216318,-84.27083964,2009,2008,2008,2008-01-01 00:00:00
Modeling Science Workshop_2009,San Diego Marriott_2008,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,32.83022446,-117.2713609,2009,2008,2008,2008-01-01 00:00:00
Modeling Science Workshop_2009,Science of Science Policy Workshop_2006,Katy Borner,1,2005 to 2009,52.38009357,4.89845947,60.17160082,24.94563008,2009,2006,2006,2006-01-01 00:00:00
National Academy of Sciences_2011,Scientific Mapping and Analytics_2011,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,35.69154502,-105.9316778,2011,2011,2011,2011-01-01 00:00:00
National Institute of Informatics_2005,i-Light Symposium 2005_2005,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,39.76552166,-86.16352641,2005,2005,2005,2005-01-01 00:00:00
National Institute of Informatics_2007,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,35.67535458,139.7567834,2007,2007,2007,2007-01-01 00:00:00
National Institute of Informatics_2007,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Borner,1,2005 to 2009,35.67628186,139.7601129,40.86115082,-73.43750812,2007,2006,2006,2006-01-01 00:00:00
National Institute of Informatics_2007,New Network Theory Conference Keynote_2007,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,52.36888351,4.888075309,2007,2007,2007,2007-01-01 00:00:00
National Institute of Informatics_2007,New York Hall of Science_2006,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,40.71384544,-73.82887484,2007,2006,2006,2006-01-01 00:00:00
National Institute of Informatics_2007,New York Hall of Science_2008,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,40.71529336,-73.82546021,2007,2008,2007,2007-01-01 00:00:00
National Institute of Informatics_2007,New York Hall of Science_2009,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,40.70391394,-73.82247429,2007,2009,2007,2007-01-01 00:00:00
National Institute of Informatics_2007,OSTI Meeting_2008,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,36.01216318,-84.27083964,2007,2008,2007,2007-01-01 00:00:00
National Institute of Informatics_2005,New Network Theory Conference Keynote_2007,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,52.36888351,4.888075309,2005,2007,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,New York Hall of Science_2006,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,40.71384544,-73.82887484,2005,2006,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,New York Hall of Science_2008,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,40.71529336,-73.82546021,2005,2008,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,New York Hall of Science_2009,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,40.70391394,-73.82247429,2005,2009,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,OSTI Meeting_2008,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,36.01216318,-84.27083964,2005,2008,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,San Diego Marriott_2008,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,32.83022446,-117.2713609,2005,2008,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,Science of Science Policy Workshop_2006,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,60.17160082,24.94563008,2005,2006,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,39.77021159,-86.16122929,2005,2006,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,33.74598921,-84.39163966,2005,2006,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,40.06909293,-88.22313709,2005,2005,2005,2005-01-01 00:00:00
National Institute of Informatics_2007,San Diego Marriott_2008,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,32.83022446,-117.2713609,2007,2008,2007,2007-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,Science of Science Policy Workshop_2006,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,60.17160082,24.94563008,2007,2006,2006,2006-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,New York Hall of Science_2009,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,40.70391394,-73.82247429,2007,2009,2007,2007-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,OSTI Meeting_2008,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,36.01216318,-84.27083964,2007,2008,2007,2007-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,San Diego Marriott_2008,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,32.83022446,-117.2713609,2007,2008,2007,2007-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,New York Hall of Science_2006,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,40.71384544,-73.82887484,2007,2006,2006,2006-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,35.67535458,139.7567834,39.77021159,-86.16122929,2007,2006,2006,2006-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,35.67535458,139.7567834,33.74598921,-84.39163966,2007,2006,2006,2006-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,40.06909293,-88.22313709,2007,2005,2005,2005-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,New York Hall of Science_2008,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,40.71529336,-73.82546021,2007,2008,2007,2007-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,New Network Theory Conference Keynote_2007,Katy Borner,1,2005 to 2009,35.67535458,139.7567834,52.36888351,4.888075309,2007,2007,2007,2007-01-01 00:00:00
National Institute of Informatics_2007,Science of Science Policy Workshop_2006,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,60.17160082,24.94563008,2007,2006,2006,2006-01-01 00:00:00
National Institute of Informatics_2007,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,35.67628186,139.7601129,39.77021159,-86.16122929,2007,2006,2006,2006-01-01 00:00:00
National Institute of Informatics_2007,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,35.67628186,139.7601129,33.74598921,-84.39163966,2007,2006,2006,2006-01-01 00:00:00
National Institute of Informatics_2007,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,40.06909293,-88.22313709,2007,2005,2005,2005-01-01 00:00:00
National Institute of Science and Technology Policy (NISTEP)_2007,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Borner,1,2005 to 2009,35.67535458,139.7567834,40.86115082,-73.43750812,2007,2006,2006,2006-01-01 00:00:00
National Institute of Informatics_2007,i-Light Symposium 2005_2005,Katy Borner,1,2005 to 2009,35.67628186,139.7601129,39.76552166,-86.16352641,2007,2005,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,40.86115082,-73.43750812,2005,2006,2005,2005-01-01 00:00:00
National Institute of Informatics_2005,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,35.67535458,139.7567834,2005,2007,2005,2005-01-01 00:00:00
National Academy of Sciences_2013,Northwestern University_2011,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,41.87198984,-87.62931502,2013,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2013,Purdue University_2011,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,39.77161587,-86.16296103,2013,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2013,Scientific Mapping and Analytics_2011,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,35.69154502,-105.9316778,2013,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2013,UCD Conference_2010,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,53.35328861,-6.264808522,2013,2010,2010,2010-01-01 00:00:00
National Academy of Sciences_2013,National Institutes of Health_2012,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,38.88880811,-77.04481698,2013,2012,2012,2012-01-01 00:00:00
National Academy of Sciences_2011,University of North Carolina_2011,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,35.23202548,-80.84695165,2011,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2011,UCD Conference_2010,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,53.35328861,-6.264808522,2011,2010,2010,2010-01-01 00:00:00
National Academy of Sciences_2011,University of Florida_2010,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,29.64945102,-82.31660241,2011,2010,2010,2010-01-01 00:00:00
National Academy of Sciences_2011,University of Pittsburgh_2012,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,40.44276457,-79.99514662,2011,2012,2011,2011-01-01 00:00:00
National Academy of Sciences_2011,VIVO 2011 Conference_2011,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,38.89126812,-77.03682062,2011,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2011,Workshop_2010,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,38.89652172,-77.03893099,2011,2010,2010,2010-01-01 00:00:00
National Academy of Sciences_2013,University of Florida_2010,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,29.64945102,-82.31660241,2013,2010,2010,2010-01-01 00:00:00
National Institute of Informatics_2005,National Institute of Informatics_2007,Katy Borner,1,2005 to 2009,29.55674144,-98.53572578,35.67628186,139.7601129,2005,2007,2005,2005-01-01 00:00:00
National Cancer Institute_2006,Science of Science Policy Workshop_2006,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,60.17160082,24.94563008,2006,2006,2006,2006-01-01 00:00:00
National Cancer Institute_2006,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,39.77021159,-86.16122929,2006,2006,2006,2006-01-01 00:00:00
National Cancer Institute_2006,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,33.74598921,-84.39163966,2006,2006,2006,2006-01-01 00:00:00
National Cancer Institute_2006,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,40.06909293,-88.22313709,2006,2005,2005,2005-01-01 00:00:00
National Cancer Institute_2006,i-Light Symposium 2005_2005,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,39.76552166,-86.16352641,2006,2005,2005,2005-01-01 00:00:00
National Cancer Institute_2006,San Diego Marriott_2008,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,32.83022446,-117.2713609,2006,2008,2006,2006-01-01 00:00:00
National Academy of Sciences_2013,University of North Carolina_2011,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,35.23202548,-80.84695165,2013,2011,2011,2011-01-01 00:00:00
National Cancer Institute_2006,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,35.67535458,139.7567834,2006,2007,2006,2006-01-01 00:00:00
National Academy of Sciences_2013,University of Pittsburgh_2012,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,40.44276457,-79.99514662,2013,2012,2012,2012-01-01 00:00:00
National Academy of Sciences_2013,VIVO 2011 Conference_2011,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,38.89126812,-77.03682062,2013,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2013,Workshop_2010,Katy Borner,1,2010 to 2014,38.89117267,-77.03555228,38.89652172,-77.03893099,2013,2010,2010,2010-01-01 00:00:00
National Cancer Institute_2006,National Institute of Informatics_2005,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,29.55674144,-98.53572578,2006,2005,2005,2005-01-01 00:00:00
National Cancer Institute_2006,National Institute of Informatics_2007,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,35.67628186,139.7601129,2006,2007,2006,2006-01-01 00:00:00
National Cancer Institute_2006,OSTI Meeting_2008,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,36.01216318,-84.27083964,2006,2008,2006,2006-01-01 00:00:00
National Cancer Institute_2006,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,40.86115082,-73.43750812,2006,2006,2006,2006-01-01 00:00:00
National Cancer Institute_2006,New Network Theory Conference Keynote_2007,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,52.36888351,4.888075309,2006,2007,2006,2006-01-01 00:00:00
National Cancer Institute_2006,New York Hall of Science_2006,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,40.71384544,-73.82887484,2006,2006,2006,2006-01-01 00:00:00
National Cancer Institute_2006,New York Hall of Science_2008,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,40.71529336,-73.82546021,2006,2008,2006,2006-01-01 00:00:00
National Cancer Institute_2006,New York Hall of Science_2009,Katy Borner,1,2005 to 2009,38.88893258,-77.03498645,40.70391394,-73.82247429,2006,2009,2006,2006-01-01 00:00:00
Kavli Royal Society International Center_2010,National Academy of Sciences_2011,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,38.87560932,-77.09326177,2010,2011,2010,2010-01-01 00:00:00
Information Visualization Conference_2005,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,40.06909293,-88.22313709,2005,2005,2005,2005-01-01 00:00:00
Information Visualization Conference_2005,i-Light Symposium 2005_2005,Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,39.76552166,-86.16352641,2005,2005,2005,2005-01-01 00:00:00
"Institute for the Future Workshop, Rockefeller Foundation_2006",International Conference of the International Society for Scientometrics and Informetrics_2005,Katy Borner,1,2005 to 2009,40.70697313,-74.00866771,59.32783,18.07586921,2006,2005,2005,2005-01-01 00:00:00
"Institute for the Future Workshop, Rockefeller Foundation_2006",International Conference on Complex Systems_2006,Katy Borner,1,2005 to 2009,40.70697313,-74.00866771,42.35014485,-71.06175618,2006,2006,2006,2006-01-01 00:00:00
Information Visualization Conference_2005,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,33.74598921,-84.39163966,2005,2006,2005,2005-01-01 00:00:00
Information Visualization Conference_2005,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,39.77021159,-86.16122929,2005,2006,2005,2005-01-01 00:00:00
Information Visualization Conference_2005,New York Hall of Science_2006,Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,40.71384544,-73.82887484,2005,2006,2005,2005-01-01 00:00:00
Information Visualization Conference_2005,National Institute of Informatics_2005,Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,29.55674144,-98.53572578,2005,2005,2005,2005-01-01 00:00:00
Information Visualization Conference_2005,National Institute of Informatics_2007,Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,35.67628186,139.7601129,2005,2007,2005,2005-01-01 00:00:00
Information Visualization Conference_2005,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Borner,1,2005 to 2009,51.51128277,-0.133061368,35.67535458,139.7567834,2005,2007,2005,2005-01-01 00:00:00
